feature_set,weighting,macro_f1,balanced_accuracy,reset_both_f1,reset_server_f1,errors
core,unweighted,0.9975539436842062,0.998021209261007,0.9974160206718347,0.9903536977491961,3
core,inverse_frequency,0.9983731211317419,0.9993115318416523,0.9982758620689656,0.9935897435897436,2
no_threat_descriptors,unweighted,0.9905882358739222,0.9941004871811154,0.9974160206718347,0.9556962025316456,14
no_threat_descriptors,inverse_frequency,0.9906927730770949,0.9966624744656721,0.9974160206718347,0.95625,15
